,Head,Neck,Chest,Back,Pelvis,LUpperArm,LLowerArm,LHand,RUpperArm,RLowerArm,RHand,LThigh,LLeg,LFoot,RThigh,RLeg,RFoot
lower_limit_delta,0,0,0,0,0,0,0.9,2.1,0,0.9,2.1,0,0,1.9,0,0,1.9
upper_limit_delta,0,0,0,0,0,0,0.5,1.4,0,0.5,1.4,0,0,0.8,0,0,0.8
